window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,1,30,,,1.6661728401399587e-18,3312.0,7.443154593960866e-20,2.268572907654775e-19
0,1,31,,,1.6688893526085719e-18,3312.0,7.453472371056659e-20,2.272398180788639e-19
0,1,32,,,1.6697530624622324e-18,3312.0,7.458140489866899e-20,2.2737448918829283e-19
0,1,33,,,1.6710379194237029e-18,3312.0,7.463571846124654e-20,2.2755746211398156e-19
0,1,34,,,1.6710379194237029e-18,3312.0,7.463571846124654e-20,2.2755746211398156e-19
0,1,35,,,0.9949887729511914,-4005.333333333333,0.9292352200500903,0.9536650721554804
0,1,36,,,0.9949884127629306,-4005.333333333333,0.92923503303756,0.9536616527331043
0,1,37,,,0.994978678771278,-4005.333333333333,0.9292136696317232,0.9536712603600608
0,1,38,,,0.995037129406034,-4005.333333333333,0.9293636394294348,0.9535629462543855
0,1,39,,,0.9854710939873714,-4048.0,0.9239019711658413,0.9333748780060566
0,1,40,,,0.9854710939873714,-4048.0,0.9239019711658413,0.9333748780060566
0,1,41,,,0.9854670340984196,-4048.0,0.9238972653736157,0.9333327690275279
0,1,42,,,0.9854657524192182,-4048.0,0.9238948003408026,0.933325220525646
0,1,43,,,0.9958107968167097,-3194.6666666666665,0.9671864926979481,0.9770509385093755
0,1,44,,,0.9958174399213833,-3194.6666666666665,0.9672082904556584,0.9770612027811946
0,1,45,,,0.9958337678579495,-3194.6666666666665,0.9672522414299882,0.9770906728244283
0,1,46,,,0.995861107557091,-3194.6666666666665,0.9673200156977481,0.9771421925078625
0,1,47,,,0.995861107557091,-3194.6666666666665,0.9673200156977481,0.9771421925078625
0,1,48,,,0.9958344309813736,-3194.6666666666665,0.9672549443111284,0.977094229532584
0,1,49,,,0.9841958768992101,-3200.0,0.9409296274207417,0.9588675870170343
0,2,3,,,0.9954297025900248,3306.6666666666665,0.8992568112267331,0.9253046388649777
0,2,4,,,0.999999999231238,-4058.6666666666665,0.9999999912805934,0.99999999549096
0,2,5,,,0.9954271283936472,3306.6666666666665,0.8992855112417261,0.9253390845169107
0,2,6,,,0.995427654083533,3306.6666666666665,0.8992952558861728,0.9253489738726608
0,2,7,,,0.995427654083533,3306.6666666666665,0.8992952558861728,0.9253489738726608
0,2,8,,,0.9999999927147312,-4058.6666666666665,0.999999905122797,0.999999951593431
0,2,9,,,0.9954270280805654,3306.6666666666665,0.8993322708140111,0.9253827422333002
0,2,10,,,0.9954270280805654,3306.6666666666665,0.8993322708140111,0.9253827422333002
0,2,11,,,1.389974908067016e-16,3312.0,4.5626871271881545e-18,1.4730966006272286e-17
0,2,12,,,1.389974908067016e-16,3312.0,4.5626871271881545e-18,1.4730966006272286e-17
0,2,13,,,1.390250844933883e-16,3312.0,4.5635831500534875e-18,1.47329565895001e-17
0,2,14,,,1.390250844933883e-16,3312.0,4.5635831500534875e-18,1.47329565895001e-17
0,2,15,,,1.3916936907598476e-16,3312.0,4.568316999838255e-18,1.4744445399145685e-17
0,2,16,,,1.1839382467103153e-17,3312.0,4.816782689584892e-19,1.5080259925807335e-18
0,2,17,,,1.1802703511360341e-17,3312.0,4.803483194238939e-19,1.5037444020420261e-18
0,2,18,,,1.1802703511360341e-17,3312.0,4.803483194238939e-19,1.5037444020420261e-18
0,2,19,,,1.1891779114268918e-17,3312.0,4.835860047700164e-19,1.5141388997318334e-18
0,2,20,,,1.1713988606070252e-17,3312.0,4.771199865201232e-19,1.4933778850093446e-18
0,2,21,,,1.1713988606070252e-17,3312.0,4.771199865201232e-19,1.4933778850093446e-18
0,2,22,,,0.7386617104110923,-3637.3333333333335,0.44797525966254126,0.5347326669909609
0,2,23,,,0.7383406844483872,-3637.3333333333335,0.4475566890628069,0.5343379745411826
0,2,24,,,0.7386718951495398,-3637.3333333333335,0.44795924610389254,0.5347232612408952
0,2,25,,,0.7384956735332532,-3637.3333333333335,0.4477549560480922,0.5345299248774086
0,2,26,,,0.7384956735332532,-3637.3333333333335,0.4477549560480922,0.5345299248774086
0,2,27,,,0.7382657514012431,-3637.3333333333335,0.44747441986460124,0.5342619551587666
0,2,28,,,1.6827354297844387e-18,3312.0,7.499590436408285e-20,2.287526940509679e-19
0,2,29,,,1.6827354297844387e-18,3312.0,7.499590436408285e-20,2.287526940509679e-19
